Time,Seconds,Latitude / Y Position (Degrees),Longitude / X Position (Degrees),Distance (Miles),Speed (MPH),Steering Angle,Throttle Position,Engine RPM,Lateral Gs,Acceleration Gs
2018-04-08 10:31:50.128666,707.4313530000001,30.324478000000003,-97.75603000000001,7.68,46.715,3.4,1,1932,-0.06,-0.09
2018-04-08 10:31:50.190668,707.493356,30.324467,-97.75603100000001,7.68,46.599,3.3,1,1927,-0.06,-0.09
2018-04-08 10:31:50.290668,707.593356,30.324448999999998,-97.75603100000001,7.68,46.41,3.1,1,1919,-0.06,-0.09
2018-04-08 10:31:50.390668,707.693356,30.324431,-97.75603199999999,7.68,46.222,2.9,1,1910,-0.06,-0.08
2018-04-08 10:31:50.490669,707.7933559999999,30.324414,-97.75603199999999,7.68,46.033,2.7,1,1902,-0.06,-0.08
2018-04-08 10:31:50.590669,707.8933559999999,30.324396999999998,-97.756033,7.68,45.845,2.5,1,1894,-0.05,-0.08
2018-04-08 10:31:50.690668,707.993356,30.324378999999997,-97.756033,7.68,45.657,2.4,1,1885,-0.05,-0.07
2018-04-08 10:31:50.707519,708.0102059999999,30.324377000000002,-97.756033,7.68,45.625,2.3,1,1884,-0.05,-0.07
2018-04-08 10:31:50.790668,708.093356,30.324362,-97.756034,7.68,45.483999999999995,2.2,1,1877,-0.05,-0.07
2018-04-08 10:31:50.890668,708.193356,30.324345,-97.756034,7.69,45.31399999999999,2.0,1,1869,-0.05,-0.07
2018-04-08 10:31:50.990669,708.2933559999999,30.324328,-97.756035,7.69,45.144,1.8,1,1860,-0.04,-0.07
2018-04-08 10:31:51.054092,708.356779,30.324316999999997,-97.756035,7.69,45.036,1.7,1,1855,-0.04,-0.06
2018-04-08 10:31:51.090669,708.3933559999999,30.324310999999998,-97.756035,7.69,44.973,1.6,1,1852,-0.04,-0.06
2018-04-08 10:31:51.152475,708.455163,30.3243,-97.756036,7.69,44.868,1.5,1,1847,-0.04,-0.07
2018-04-08 10:31:51.190668,708.493356,30.324293,-97.756036,7.69,44.803000000000004,1.4,1,1845,-0.04,-0.07
2018-04-08 10:31:51.209365,708.5120519999999,30.32429,-97.756036,7.69,44.772,1.4,1,1843,-0.04,-0.07
2018-04-08 10:31:51.290668,708.593356,30.324276,-97.756036,7.69,44.633,1.4,1,1838,-0.03,-0.07
2018-04-08 10:31:51.390668,708.693356,30.324259,-97.756037,7.69,44.463,1.3,1,1832,-0.03,-0.07
2018-04-08 10:31:51.490669,708.7933559999999,30.324241999999998,-97.756037,7.69,44.293,1.3,1,1825,-0.03,-0.08
2018-04-08 10:31:51.590669,708.893357,30.324225,-97.756038,7.69,44.123000000000005,1.2,1,1819,-0.02,-0.08
2018-04-08 10:31:51.690670,708.9933570000001,30.324208000000002,-97.756038,7.7,43.953,1.2,1,1813,-0.02,-0.08
2018-04-08 10:31:51.790670,709.0933570000001,30.324192,-97.756039,7.7,43.783,1.1,1,1806,-0.01,-0.09
2018-04-08 10:31:51.810148,709.112835,30.324188,-97.756039,7.7,43.75,1.1,1,1805,-0.01,-0.09
2018-04-08 10:31:51.890669,709.193357,30.324175,-97.756039,7.7,43.65,1.1,1,1800,-0.01,-0.09
2018-04-08 10:31:51.990669,709.293357,30.324158,-97.75604,7.7,43.526,1.0,1,1793,-0.01,-0.09
2018-04-08 10:31:52.053429,709.356117,30.324147999999997,-97.75604,7.7,43.448,1.0,1,1789,-0.01,-0.09
2018-04-08 10:31:52.090669,709.393357,30.324142,-97.75604,7.7,43.402,1.0,1,1787,-0.0,-0.1
2018-04-08 10:31:52.152439,709.455127,30.324131,-97.756041,7.7,43.325,1.0,1,1783,-0.0,-0.1
2018-04-08 10:31:52.190670,709.4933570000001,30.324125,-97.756041,7.7,43.277,1.0,1,1781,-0.0,-0.1
2018-04-08 10:31:52.290670,709.5933570000001,30.324108000000003,-97.756041,7.7,43.153,0.9,1,1775,-0.0,-0.1
